customer_id,name,phone,address
40,Joseph Duncan,391.460.4438,"[432, Kenneth Crest, East Sarah, 75617]"
41,Eric Santiago,448.377.2484x148,"[03586, Yolanda Stravenue, Beltranshire, 23542]"
42,William Alvarado,(904)461-9452x626,"[7191, Mary Lake, Cynthiamouth, 56409]"
43,Anna Perry,930-873-3255x08280,"[7229, Henderson Divide, New Chelseaville, 82345]"
44,Megan Lewis,736.349.0593x66199,"[7495, Oconnor Mountains, North Elizabeth, 24576]"
45,Richard Thomas,(645)687-4408x417,"[102, Penny Union, South Benjaminstad, 76937]"
46,Brian Allen,971.623.3498,"[2191, Simmons Shoal, Tracyton, 99280]"
47,Amy Parker,955-820-4057x237,"[36398, Martin River, Lake Nicholas, 40559]"
48,Lori Cobb,(890)298-0008x21511,"[5273, Larsen Islands, East Kathy, 90431]"
49,Michael Wheeler,(651)374-7667x859,"[5731, Catherine Coves, Amberville, 40802]"
50,Natasha Dougherty,(794)405-9121x4235,"[22899, Zachary Inlet, New Ritaport, 15049]"
51,Julie Johnson,+1-545-984-5437,"[0061, Bell Vista, West Melissa, 26856]"
52,Sandra White,+1-562-594-2421x84812,"[891, Miller Spring, South James, 76726]"
53,Melanie Contreras,(414)521-9630x5411,"[903, Danielle Centers, Robinsonborough, 83505]"
54,Jamie Bradshaw,+1-498-467-7681x91005,"[3328, Butler Shores, Sarahborough, 30178]"
55,Samantha Vega,651-541-9158x84821,"[638, Katie Avenue, Wellsbury, 25489]"
56,Lisa Brown,001-507-854-6733,"[351, Davis Radial, Lake Jeffrey, 21431]"
57,Donald Woods,001-267-552-9871x5713,"[926, Lisa Point, East Katherine, 28080]"
58,Jared Jackson,(458)779-3081x030,"[57672, Aaron Centers, Colleenville, 12595]"
59,Heather Lang,2119492281,"[96579, Reynolds Ramp, Jerrytown, 97357]"
60,Shawn Thomas,773.497.6635x45911,"[80171, Campbell Stream, Andersonfurt, 55048]"
61,Ryan Harrison,(664)945-6960x38352,"[3879, Mark Lake, Lake Nicoleland, 57535]"
62,Dr. Michael Johnson,316-257-0429x5934,"[94203, Jones Lane, Lake Andreamouth, 11474]"
63,Kendra Hill,220-684-2830x09811,"[5374, Bruce Underpass, Seanbury, 81683]"
64,Michael Walls,831.517.1979x0891,"[234, Ryan Turnpike, Lake Paige, 67803]"
65,James Koch,+1-358-632-4962x09416,"[504, Marquez Oval, New Whitneybury, 31016]"
66,Mary Sanchez,001-796-208-8391,"[2318, Travis Meadows, Christopherbury, 90852]"
67,Marissa Liu,(345)337-8142x8412,"[97770, Nguyen Greens, West Sandraburgh, 28475]"
68,Zachary Hamilton,+1-652-207-6746x25887,"[43230, Jessica Keys, Mckenziefort, 52524]"
69,James Knox,5403114766,"[8743, Haley Road, Laurashire, 75411]"
70,Anne Keller,755-813-0897x888,"[624, Hendricks Cliff, North Tanyaborough, 98275]"
71,Caroline Salazar,001-900-323-9469,"[207, Denise Village, West Danielle, 49980]"
72,Gregory Rivera,756-327-7258x66683,"[77056, Alexis Way, Bentleyhaven, 67420]"
73,Hannah Zimmerman,7653272233,"[18223, Williams Park, West Maryport, 54941]"
74,Amber Mckee,+1-346-578-4147,"[40444, Kenneth Prairie, North Dawnstad, 65280]"
75,Troy Middleton,+1-967-747-5270x1213,"[40836, Edward Walks, Lake Kathleenhaven, 34792]"
76,Gilbert Wilson,001-404-642-3826x0217,"[5557, Samantha Spurs, East Trevor, 59225]"
77,Justin Mccoy,001-598-599-8986x269,"[6528, Nguyen Square, Stephanieton, 19739]"
78,Brittany Cruz,001-413-842-8804x42404,"[66832, Angel Rest, South Michaelland, 49913]"
79,Andrew Alexander,(360)978-7731x790,"[4356, David Isle, Port Stephanie, 29427]"
80,Laura Weiss,+1-236-317-7113,"[4816, Carroll Crest, North Patricia, 16155]"
81,Mark Best,+1-481-855-8179x117,"[12458, Kelly Parkway, West Elizabeth, 78196]"
82,Joseph Morales,(491)608-8906,"[265, Spencer Landing, Natashaborough, 33479]"
83,Karen Parker,(584)591-8674x445,"[4048, Lawson Summit, East Codyfurt, 77450]"
84,Deanna Ortega,744.233.7788,"[94799, Davis Landing, Christopherburgh, 41155]"
85,Thomas Smith,940-843-3558,"[20244, Oneill Falls, Melissafurt, 79266]"
86,Jose Castro,826.771.7463x842,"[8680, Rebecca Forge, West Ronald, 68148]"
87,Julie Guerrero,546.969.3857x36914,"[82688, Maria Loaf, Williefort, 11137]"
88,Diane Mccarty,+1-599-822-6240x3860,"[512, White Groves, Richardsonstad, 66886]"
89,Sheila Vargas,(452)446-0299,"[7403, Maria Neck, Smithhaven, 08702]"
90,Ashley Moody,001-745-601-0168,"[8321, Owens Shore, East Ronaldhaven, 36106]"
91,Miss Carolyn Hernandez,(713)459-7083x3402,"[8703, Maria Cove, Gutierrezberg, 30603]"
92,Jeffrey Rodriguez,813-655-8073x25253,"[01835, Michael Vista, Barryview, 95409]"
93,Amanda Wright,737-877-7995,"[48219, Garcia Curve, Mortonfort, 55556]"
94,Michael Mcdonald,673.388.1576,"[57020, Santiago Crescent, Jeffreyborough, 07972]"
95,Joel Combs,400.975.3846,"[980, Jones Shoals, East Megan, 25832]"
96,Rachael Bryant,780-514-3570,"[014, Olson Loop, Annaport, 53136]"
97,Kathy Burns,312-437-3350,"[007, Thomas Keys, Coxmouth, 70035]"
98,Bethany Brock,001-729-941-5575x046,"[47915, Joan Ferry, Jonesmouth, 32027]"
99,Patrick Miranda,(778)519-2334,"[060, Fernandez Extension, New Elizabethville, 48172]"
100,Donald Salinas,603-492-9732x58594,"[714, Mueller Spur, Melissashire, 68733]"
